Date,ind10,bse,int_bond,int_stock
"Jul 25, 2007",7.825,15565.55,55.5905,2720.040039
"Jul 26, 2007",7.804,15732.2,56.092979,2687.600098
"Jul 27, 2007",7.834,15794.92,56.001633,2690.580078
"Jul 30, 2007",7.776,15699.33,56.210449,2639.860107
"Jul 31, 2007",7.845,15776.31,56.32135,2648.169922
"Aug 01, 2007",7.897,15234.57,56.791195,2599.340088
"Aug 02, 2007",7.891,15260.91,56.954346,2562.23999
"Aug 03, 2007",7.86,15550.99,56.791195,2583.280029
"Aug 06, 2007",7.852,14935.77,57.202305,2546.27002
"Aug 07, 2007",7.826,14985.7,57.078526,2553.870117
"Aug 08, 2007",7.906,15138.4,57.222599,2575.97998
"Aug 09, 2007",7.991,14903.03,57.602585,2511.25
"Aug 10, 2007",7.983,14932.77,57.183266,2547.330078
"Aug 13, 2007",7.977,15307.98,57.137451,2561.600098
"Aug 14, 2007",7.988,15100.15,56.44302,2612.97998
"Aug 16, 2007",8.036,14868.25,56.521626,2556.48999
"Aug 17, 2007",7.999,15017.21,56.390636,2544.889893
"Aug 21, 2007",7.958,15000.91,56.554417,2542.23999
"Aug 22, 2007",7.912,14358.21,56.705093,2499.120117
"Aug 23, 2007",7.931,14141.52,56.501991,2458.830078
"Aug 24, 2007",7.937,14427.55,57.085003,2451.070068
"Aug 27, 2007",7.928,13989.11,56.855755,2505.030029
"Aug 28, 2007",7.939,14248.66,56.888538,2508.590088
"Aug 29, 2007",7.952,14163.98,57.163662,2521.300049
"Aug 30, 2007",7.97,14424.87,57.071945,2552.800049
"Aug 31, 2007",7.93,14842.38,57.268425,2541.699951
"Sep 03, 2007",7.902,14919.19,57.550171,2576.689941
"Sep 04, 2007",7.917,14993.04,57.851536,2561.25
"Sep 05, 2007",7.928,15121.74,57.949795,2500.639893
"Sep 06, 2007",7.92,15318.6,57.792572,2563.159912
"Sep 07, 2007",7.896,15422.05,58.179001,2565.300049
"Sep 10, 2007",7.864,15465.4,58.224918,2596.360107
"Sep 11, 2007",7.896,15446.15,58.252552,2630.23999
"Sep 12, 2007",7.896,15616.31,58.719547,2605.949951
"Sep 13, 2007",7.898,15590.42,58.568275,2614.320068
"Sep 14, 2007",7.886,15596.83,59.397068,2565.699951
"Sep 17, 2007",7.892,15542.77,59.857517,2559.110107
"Sep 18, 2007",7.886,15505.36,59.811455,2597.469971
"Sep 19, 2007",7.862,15614.44,59.587879,2592.070068
"Sep 20, 2007",7.844,15603.8,59.054993,2601.060059
"Sep 21, 2007",7.859,15504.43,59.140514,2602.179932
"Sep 24, 2007",7.887,15669.12,59.423378,2581.659912
"Sep 25, 2007",7.927,16322.75,58.976093,2651.659912
"Sep 26, 2007",7.923,16347.95,58.430161,2666.47998
"Sep 27, 2007",7.928,16564.23,57.325077,2654.290039
"Sep 28, 2007",7.925,16845.83,57.811829,2671.219971
"Oct 01, 2007",7.919,16899.54,57.976254,2667.949951
"Oct 03, 2007",7.898,16921.39,57.772362,2683.449951
"Oct 04, 2007",7.893,17150.56,57.824982,2699.030029
"Oct 05, 2007",7.908,17291.1,58.226227,2709.590088
"Oct 06, 2007",7.913,17328.62,58.357758,2701.5
"Oct 08, 2007",7.941,17847.04,58.691242,2740.98999
"Oct 09, 2007",7.926,17777.14,58.876152,2747.110107
"Oct 10, 2007",7.901,17773.36,58.704479,2729.429932
"Oct 11, 2007",7.893,17491.39,58.928963,2733.570068
"Oct 12, 2007",7.904,18280.24,58.295044,2780.320068
"Oct 13, 2007",7.902,18658.25,58.248802,2787.370117
"Oct 15, 2007",7.908,18814.07,58.176186,2803.909912
"Oct 16, 2007",7.912,18419.04,58.20924,2811.610107
"Oct 17, 2007",7.927,19058.67,58.149773,2772.199951
"Oct 18, 2007",7.914,19051.86,57.865833,2805.679932
"Oct 19, 2007",7.898,18715.82,57.879028,2780.050049
"Oct 20, 2007",7.898,17998.39,57.898849,2763.909912
"Oct 22, 2007",7.863,17559.98,58.532749,2792.669922
"Oct 23, 2007",7.823,17613.99,58.8563,2799.310059
"Oct 24, 2007",7.831,18492.84,59.734573,2725.159912
"Oct 25, 2007",7.819,18512.91,59.741203,2753.929932
"Oct 26, 2007",7.822,18770.89,59.661938,2799.26001
"Oct 27, 2007",7.823,19243.17,60.104359,2774.76001
"Oct 29, 2007",7.816,19977.67,59.89975,2750.860107
"Oct 30, 2007",7.86,19783.51,59.761005,2804.189941
"Oct 31, 2007",7.839,19837.99,59.992096,2817.439941
"Nov 01, 2007",7.859,19724.35,59.959106,2816.709961
"Nov 02, 2007",7.859,19976.23,59.417656,2859.120117
"Nov 03, 2007",7.857,19590.78,60.189648,2794.830078
"Nov 05, 2007",7.868,19400.67,60.381969,2810.379883
"Nov 06, 2007",7.896,19289.83,60.35545,2795.179932
"Nov 07, 2007",7.896,19058.93,60.063614,2825.179932
"Nov 08, 2007",7.914,18907.6,60.169765,2748.76001
"Nov 10, 2007",7.935,18737.27,60.063614,2696
"Nov 12, 2007",7.923,19035.48,60.57436,2627.939941
"Nov 13, 2007",7.887,19929.06,60.793205,2584.129883
"Nov 14, 2007",7.875,19784.89,60.567688,2673.649902
"Nov 15, 2007",7.883,19698.36,60.634048,2644.320068
"Nov 16, 2007",7.881,19633.36,61.204445,2618.51001
"Nov 17, 2007",7.881,19280.8,61.290638,2637.23999
